id,section,reference,title,depth,body
,,21,Chapter 21 Hydronic Piping,0,The text of this chapter is extracted from the 2018 edition of the North Carolina Mechanical Code and has been modified where necessary to conform to the scope of application of the North Carolina Residential Code for One- and Two-Family Dwellings. The section numbers appearing in parentheses after each section number are the section numbers of the corresponding text in the North Carolina Mechanical Code.
21,Chapter 21 Hydronic Piping,M2101,Section M2101 Hydronic Piping Systems Installation,1,
21,Chapter 21 Hydronic Piping,M2101.1,M2101.1 General,2,"Hydronic piping shall conform to Table M2101.1. Approved piping, valves, fittings and connections shall be installed in accordance with the manufacturer's instructions. Pipe and fittings shall be rated for use at the operating temperature and pressure of the hydronic system. Used pipe, fittings, valves or other materials shall be free of foreign materials. TABLE M2101.1 (1202.4)HYDRONIC PIPING MATERIALS MATERIAL USE CODEa STANDARDb JOINTS NOTES Acrylonitrile butadiene styrene (ABS) plastic pipe 1, 5 ASTM D 1527; ASTM F 2806; ASTM F 2969 Solvent cement joints Brass pipe 1 ASTM B 43 Brazed, welded, threaded, mechanical and flanged fittings Brass tubing 1 ASTM B 135 Brazed, soldered and mechanical fittings Chlorinated poly (vinyl chloride) (CPVC) pipe and tubing 1, 2, 3 ASTM D 2846 Solvent cement joints, compression joints and threaded adapters Copper pipe 1 ASTM B 42, B 302 Brazed, soldered and mechanical fittings threaded, welded and flanged Copper tubing (type K, L or M) 1, 2 ASTM B 75, B 88, B 251, B 306 Brazed, soldered and flared mechanical fittings Joints embedded in concrete Cross-linked polyethylene (PEX) 1, 2, 3 ASTM F 876, F 877 (See PEX fittings) Install in accordance with manufacturer's instructions Cross-linked polyethylene/ aluminum/cross-linked polyethylene-(PEX-AL-PEX) pressure pipe 1, 2 ASTM F 1281 or CAN/CSA B137.10 Mechanical, crimp/insert Install in accordance with manufacturer's instructions PEX fittings ASTM F 877, ASTM F 1807, ASTM F 1960, ASTM F 2098, ASTM F 2159, ASTM F 2735 Copper crimp/insert fittings, cold expansion fittings, stainless steel clamp, insert fittings Install in accordance with manufacturer's instructions Polybutylene (PB) pipe and tubing 1, 2, 3 ASTM D 3309 Heat-fusion, crimp/insert and compression Joints in concrete shall be heat-fused Polyethylene/aluminum/polyethylene (PE-AL-PE) pressure pipe 1, 2, 3 ASTM F 1282, CSA B 137.9 Mechanical, crimp/insert Polypropylene (PP) 1, 2, 3 ISO 15874, ASTM F 2389 Heat-fusion joints, mechanical fittings, threaded adapters, compression joints Raised temperature polyethylene (PE-RT) 1, 2, 3 ASTM F 2623, ASTM F 2769 Copper crimp/insert fitting, stainless steel clamp, insert fittings Raised temperature polyethylene (PE-RT) fittings 1, 2, 3 ASTM F 1807, ASTM F 2159, ASTM F 2735, ASTM F 2769, ASTM F 2098 Copper crimp/insert fitting, stainless steel clamp, insert fittings Steel pipe 1, 2 ASTM A 53, ASTM A 106 Brazed, welded, threaded, flanged and mechanical fittings Joints in concrete shall be welded. Galvanized pipe shall not be welded or brazed. Steel tubing 1 ASTM A 254 Mechanical fittings, welded For SI: °C = [(°F)-32]/1.8. Use code: Above ground. Embedded in radiant systems. Temperatures below 180°F only. Low-temperature (below 130°F) applications only. Temperatures below 160°F only. Standards as listed in Chapter 44."
21,Chapter 21 Hydronic Piping,M2101.2,"M2101.2 <span class=""code_addition"">(1206.2) </span>System Drain Down",2,"Hydronic piping systems shall be installed to permit draining of the system. Where the system drains to the plumbing drainage system, the installation shall conform to the requirements of Chapters 25 through 32 of this code.Exception: The buried portions of systems embedded underground or under floors."
21,Chapter 21 Hydronic Piping,M2101.3,"M2101.3 <span class=""code_addition"">(1206.3) </span>Protection of Potable Water",2,The potable water system shall be protected from backflow in accordance with the provisions listed in Section P2902.
21,Chapter 21 Hydronic Piping,M2101.4,"M2101.4 <span class=""code_addition"">(1206.4) </span>Pipe Penetrations",2,Openings through concrete or masonry building elements shall be sleeved.
21,Chapter 21 Hydronic Piping,M2101.5,"M2101.5 <span class=""code_addition"">(1206.6) </span>Contact With Building Material",2,A hydronic piping system shall not be in direct contact with any building material that causes the piping material to degrade or corrode.
21,Chapter 21 Hydronic Piping,M2101.6,M2101.6 Drilling and Notching,2,"Wood-framed structural members shall be drilled, notched or altered in accordance with the provisions of Sections R502.8, R602.6, R602.6.1 and R802.7. Holes in load-bearing members of cold-formed steel light-frame construction shall be permitted only in accordance with Sections R505.2.6, R603.2.6 and R804.2.6. In accordance with the provisions of Sections R505.3.5, R603.3.4 and R804.3.3, cutting and notching of flanges and lips of load-bearing members of cold-formed steel light-frame construction shall not be permitted. Structural insulated panels (SIPs) shall be drilled and notched or altered in accordance with the provisions of Section R610.7."
21,Chapter 21 Hydronic Piping,M2101.7,M2101.7 Prohibited Tee Applications,2,Fluid in the supply side of a hydronic system shall not enter a tee fitting through the branch opening.
21,Chapter 21 Hydronic Piping,M2101.8,"M2101.8 Expansion, Contraction and Settlement",2,"Piping shall be installed so that piping, connections and equipment shall not be subjected to excessive strains or stresses. Provisions shall be made to compensate for expansion, contraction, shrinkage and structural settlement."
